Strain,ZIKV,Sample,16S_Ct,S7_Ct,16S-S7,Abundance,Distribution
Galveston,Infected,G38,27.31495476,22.47827721,4.83667755,0.008721128,
Galveston,Infected,G39,22.91144848,21.94403458,0.9674139,0.127449194,
Galveston,Infected,G40,24.03750229,22.12263966,1.91486263,0.066088608,
Galveston,Infected,G42,23.12936115,22.11525822,1.01410293,0.123390663,
Galveston,Infected,G43,21.34661865,21.99032497,-0.64370632,0.389343212,
Galveston,Infected,G44,23.18556023,22.91408634,0.27147389,0.206459995,
Galveston,Infected,G45,27.21089077,22.46903992,4.74185085,0.009313617,
Galveston,Infected,G46,26.3749733,22.05779266,4.31718064,0.012501348,
Galveston,Infected,G47,19.26332283,23.08784962,-3.82452679,3.530652542,
Galveston,Infected,G49,19.38607407,23.68863773,-4.30256366,4.917659071,
Galveston,Infected,G50,14.07595348,24.90003681,-10.82408333,451.7846332,
Galveston,Infected,G51,20.33973408,23.80644608,-3.466712,2.755129363,
Galveston,Infected,G52,20.4681778,24.08256721,-3.61438941,3.052089926,
Galveston,Infected,G54,24.12084293,24.12830162,-0.00745869,0.250497264,
Galveston,Infected,G55,24.75519276,24.41535568,0.33983708,0.196904908,
Galveston,Infected,G56,22.37140274,22.36986637,0.00153637,0.248940297,
Galveston,Infected,G57,21.68050194,24.9125309,-3.23202896,2.341506463,
RGV,Unexposed,RGVM01,24.16974831,24.38022423,-0.21047592,0.288348212,Control
RGV,Unexposed,RGVM02,24.02938938,23.52038956,0.50899982,0.175119087,Control
RGV,Unexposed,RGVM03,24.59475231,24.38259125,0.21216106,0.215124985,Control
RGV,Unexposed,RGVM04,22.24705315,23.78693199,-1.53987884,0.724615163,Control
RGV,Unexposed,RGVM05,23.29675579,24.14265156,-0.84589577,0.447917156,Control
RGV,Unexposed,RGVM06,23.1253376,23.1056385,0.0196991,0.245825922,Control
RGV,Unexposed,RGVM07,24.81230068,21.8190546,2.99324608,0.031296865,Control
RGV,Unexposed,RGVM08,20.59310341,23.89946938,-3.30636597,2.465318477,Control
RGV,Unexposed,RGVM09,24.5773716,24.48152256,0.09584904,0.23318696,Control
RGV,Unexposed,RGVM10,22.61730289,24.80969238,-2.19238949,1.13902353,Control
RGV,Unexposed,RGVM11,22.26364326,23.39225292,-1.12860966,0.544882749,Control
RGV,Unexposed,RGVM12,22.37735939,23.98363304,-1.60627365,0.758742213,Control
RGV,Unexposed,RGVM13,21.76158524,23.97598934,-2.2144041,1.156537592,Control
RGV,Unexposed,RGVM14,20.64567852,23.40778732,-2.7621088,1.690578327,Control
RGV,Unexposed,RGVM15,21.63092041,22.94036102,-1.30944061,0.617644528,Control
RGV,Unexposed,RGVM16,22.59201431,23.73950481,-1.1474905,0.552060605,Control
RGV,Unexposed,RGVM17,24.57082558,22.91866207,1.65216351,0.079287901,Control
RGV,Unexposed,RGVM18,24.04682541,23.508255,0.53857041,0.171566246,Control
RGV,Unexposed,RGVM19,24.41150951,23.48655605,0.92495346,0.131255938,Control
RGV,Unexposed,RGVM20,23.67165089,23.63650227,0.03514862,0.243207469,Control
RGV,Unexposed,RGVM21,22.02873802,23.28249168,-1.25375366,0.594258163,Control
RGV,Unexposed,RGVM22,21.09771633,24.44927406,-3.35155773,2.543765694,Control
RGV,Unexposed,RGVM23,21.47663403,23.02667427,-1.55004024,0.729736894,Control
RGV,Unexposed,RGVM24,21.61586571,25.76976681,-4.1539011,4.436153111,Control
RGV,Unexposed,RGVM25,21.64044285,26.59269238,-4.95224953,7.714954188,Control
RGV,Unexposed,RGVM26,22.94349861,24.44477177,-1.50127316,0.70548202,Control
RGV,Unexposed,RGVM27,20.74572372,23.48582458,-2.74010086,1.6649847,Control
RGV,Unexposed,RGVM28,21.89792252,24.4265871,-2.52866458,1.438008935,Control
RGV,Unexposed,RGVM29,26.30053425,28.87243748,-2.57190323,1.481759482,Control
RGV,Unexposed,RGVM30,22.08628273,24.68671227,-2.60042954,1.51134979,Control
RGV,Unexposed,RGVM31,24.29139328,24.86846924,-0.57707596,0.371770453,Control
RGV,Unexposed,RGVM32,23.15859127,24.94079304,-1.78220177,0.857144195,Control
RGV,Unexposed,RGVM33,21.04624367,24.78786755,-3.74162388,3.333486628,Control
RGV,Unexposed,RGVM34,22.46428299,25.92597485,-3.46169186,2.745559011,Control
RGV,Unexposed,RGVM35,24.67053413,26.53027725,-1.85974312,0.904474152,Control
RGV,Unexposed,RGVM36,21.62913799,25.0819931,-3.45285511,2.728793399,Control
RGV,Unexposed,RGVM37,24.10978222,24.79013252,-0.6803503,0.399359063,Control
RGV,Unexposed,RGVM38,23.58552933,23.99129295,-0.40576362,0.330144995,Control
RGV,Unexposed,RGVM39,25.92153358,27.49958801,-1.57805443,0.744045364,Control
RGV,Unexposed,RGVM40,20.6003933,23.20606804,-2.60567474,1.516854599,Control
RGV,Exposed,RGV01,16.69598675,26.60856724,-9.91258049,240.1827201,Exposed_High
RGV,Exposed,RGV04,18.21121693,23.70674133,-5.4955244,11.24282325,Exposed_High
RGV,Exposed,RGV13,18.08899975,27.85389709,-9.76489734,216.8126916,Exposed_High
RGV,Exposed,RGV14,18.4094286,26.91255379,-8.50312519,90.41769596,Exposed_High
RGV,Exposed,RGV16,19.0923357,26.9436903,-7.8513546,57.55074344,Exposed_High
RGV,Exposed,RGV17,16.46522236,23.94209003,-7.47686767,44.39347475,Exposed_High
RGV,Exposed,RGV20,22.13130474,26.33677006,-4.20546532,4.597575862,Exposed_High
RGV,Exposed,RGV23,17.50393581,25.08042526,-7.57648945,47.56727617,Exposed_High
RGV,Exposed,RGV24,19.77754498,23.44452953,-3.66698455,3.165410511,Exposed_High
RGV,Exposed,RGV27,22.66085052,29.26559353,-6.60474301,24.25400466,Exposed_High
RGV,Exposed,RGV28,19.35157776,26.67246151,-7.32088375,39.84403386,Exposed_High
RGV,Exposed,RGV30,17.88644886,27.29103947,-9.40459061,168.8968569,Exposed_High
RGV,Exposed,RGV34,17.84229183,26.51400471,-8.67171288,101.625662,Exposed_High
RGV,Exposed,RGV35,18.10108471,23.2123909,-5.11130619,8.614184657,Exposed_High
RGV,Exposed,RGV36,17.15613079,24.45603275,-7.29990196,39.26875681,Exposed_High
RGV,Exposed,RGV41,22.68940258,29.18652439,-6.49712181,22.51055731,Exposed_High
RGV,Exposed,RGV42,21.59226322,30.12631321,-8.53404999,92.37676056,Exposed_High
RGV,Exposed,RGV43,22.88081074,28.94664383,-6.06583309,16.69380767,Exposed_High
RGV,Exposed,RGV47,23.5891695,27.39337635,-3.80420685,3.481272894,Exposed_High
RGV,Exposed,RGV48,23.46065044,31.91787434,-8.4572239,87.58621743,Exposed_High
RGV,Exposed,RGV49,21.34134388,24.18670845,-2.84536457,1.791009053,Exposed_High
RGV,Exposed,RGV50,28.73440075,26.45214081,2.28225994,0.051230547,Exposed_Low
RGV,Exposed,RGV51,21.5302,23.00369358,-1.47349358,0.692027675,Exposed_Low
RGV,Exposed,RGV53,22.55019283,23.95030212,-1.40010929,0.657707191,Exposed_Low
RGV,Exposed,RGV55,21.83977795,22.92192745,-1.0821495,0.527615027,Exposed_Low
RGV,Exposed,RGV62,23.9856329,24.10527325,-0.11964035,0.270752846,Exposed_Low
RGV,Exposed,RGV64,22.11387444,22.15538597,-0.04151153,0.256480241,Exposed_Low
RGV,Exposed,RGV65,23.46132278,21.94533634,1.51598644,0.087136539,Exposed_Low
RGV,Exposed,RGV66,22.79687977,23.24747753,-0.45059776,0.340565883,Exposed_Low
RGV,Exposed,RGV68,21.40002823,23.12448311,-1.72445488,0.823512778,Exposed_Low
RGV,Exposed,RGV69,24.95595741,23.80866909,1.14728832,0.112509579,Exposed_Low
RGV,Exposed,RGV70,21.41835213,23.46182251,-2.04347038,1.027314875,Exposed_Low
RGV,Exposed,RGV71,24.73199177,23.03709984,1.69489193,0.076974059,Exposed_Low
RGV,Exposed,RGV72,22.6607275,22.97915077,-0.31842327,0.310751084,Exposed_Low
RGV,Exposed,RGV79,23.68212032,22.50884342,1.1732769,0.110500987,Exposed_Low
RGV,Exposed,RGV82,22.29352665,22.41248703,-0.11896038,0.270625265,Exposed_Low
RGV,Exposed,RGV85,21.29744625,22.40598392,-1.10853767,0.537354372,Exposed_Low
RGV,Infected,RGV02,15.78363848,25.01553726,-9.23189878,149.8428921,Infected_High
RGV,Infected,RGV03,17.09670162,25.21417332,-8.1174717,69.2086165,Infected_High
RGV,Infected,RGV05,17.05425358,23.49554443,-6.44129085,21.65606038,Infected_High
RGV,Infected,RGV06,18.19445133,25.07852554,-6.88407421,29.43543963,Infected_High
RGV,Infected,RGV07,18.74488258,25.68543053,-6.94054795,30.61052768,Infected_High
RGV,Infected,RGV08,18.27599907,24.77104473,-6.49504566,22.47818617,Infected_High
RGV,Infected,RGV09,19.29967976,25.30167484,-6.00199508,15.97122581,Infected_High
RGV,Infected,RGV10,17.07877159,25.44056416,-8.36179257,81.98003098,Infected_High
RGV,Infected,RGV11,19.45049953,25.29342461,-5.84292508,14.30386519,Infected_High
RGV,Infected,RGV12,20.52403259,26.3881731,-5.86414051,14.51576368,Infected_High
RGV,Infected,RGV15,18.87956429,25.76130199,-6.8817377,29.38780619,Infected_High
RGV,Infected,RGV18,16.35596085,25.40802765,-9.0520668,132.2821749,Infected_High
RGV,Infected,RGV19,14.35280371,26.69684982,-12.34404611,1295.644465,Infected_High
RGV,Infected,RGV21,16.52059841,23.22232342,-6.70172501,25.9404764,Infected_High
RGV,Infected,RGV22,18.23551655,27.34881306,-9.11329651,138.0172297,Infected_High
RGV,Infected,RGV25,21.4971199,28.08063602,-6.58351612,23.89975924,Infected_High
RGV,Infected,RGV26,21.2025795,27.77353477,-6.57095527,23.69257878,Infected_High
RGV,Infected,RGV29,16.36182022,25.04749584,-8.68567562,102.6139939,Infected_High
RGV,Infected,RGV31,21.02293015,25.23371029,-4.21078014,4.61454435,Infected_High
RGV,Infected,RGV32,16.42361403,27.34837437,-10.92476034,484.4380583,Infected_High
RGV,Infected,RGV33,16.38243246,24.61690235,-8.23446989,75.05508693,Infected_High
